Title,Artist,Album,Duration,"Media Type"
"Piece Of My Heart","Rachael Wood",youtube.com/watch?v=iE-I4cXrO3w,00:03:59,track
Why,"Sara Bradaschia and Emanuele Grafitti",youtube.com/watch?v=Nj3_Ln69i2M,00:04:52,track
Why,"Valentina Favara",youtube.com/watch?v=k2bpDT1e02g,00:04:47,track
"Streets of London","Glen Campbell",youtube.com/watch?v=UZxP-bFifrI,00:02:36,track
"Streets Of London","Mary Hopkin",youtube.com/watch?v=lQteP6oEHz8,00:04:26,track
"Streets Of London","Ralph McTell",youtube.com/watch?v=M2r97Fo_HWE,00:03:59,track
"Streets of London","Sinéad O'Connor",youtube.com/watch?v=NdKY8IzhEZI,00:04:07,track
"Streets Of London","The Johnstons",No,00:03:07,track
"Boppin The Blues","Carl Perkins","The Best Of",00:02:45,track
"Folsom Prison Blues","Carl Perkins","The Best Of",00:02:31,track
"Mean Woman Blues","Carl Perkins","The Best Of",00:02:09,track
"That's Allright","Carl Perkins","The Best Of",00:03:35,track
"The New Politician","Crazy Cavan And The Rhythm Rockers","The Best Of British Rockabilly",00:01:45,track
"Jailhouse Rock","Elvis Presley","Billboard Top Rock'n'Roll Hits 1957",00:02:27,track
"Little Girl","John & Jackie","Rockin' Bones: 1950s Punk and Rockabilly Disc 1",00:02:13,track
"Folsom Prison Blues","Johnny Cash","Rockabilly Rules Disc 2",00:02:49,track
Raw-Hide,"Link Wray","Rockabilly Rules Disc 2",00:02:08,track
"I'm a Woman","Peggy Lee","There's a Riot Goin' On! The Rock 'N' Roll Classics of Lieber and Stoller",00:02:09,track
"It's Saturday Night","The Riot Rockers","Best of Britsh Rockabillies V2",00:02:32,track
"Love Has No Pride","Bonnie Raitt","The Bonnie Raitt Collection",00:03:46,track
"Lover's Will","Bonnie Raitt","The Best of Bonnie Raitt on Capitol 1989-2003",00:04:29,track
Runaway,"Bonnie Raitt","The Bonnie Raitt Collection",00:03:55,track
Empire,"David Byrne","Grown Backwards",00:04:13,track
"Bell Bottom Blues","Derek & The Dominos","Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1",00:05:04,track
"I Looked Away","Derek & The Dominos","Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1",00:03:04,track
Layla,"Derek & The Dominos","Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1",00:07:06,track
"Little Wing","Derek & The Dominos","Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1",00:05:34,track
"Nobody Knows You When You're Down And Out","Derek & The Dominos","Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1",00:04:59,track
"Hava Nagila","Dick Dale","King Of The Surf Guitar",00:02:07,track
"Night Ride","Dick Dale","King Of The Surf Guitar",00:01:48,track
"Riders In The Sky","Dick Dale","King Of The Surf Guitar",00:02:14,track
"The Wedge","Dick Dale","King Of The Surf Guitar",00:02:01,track
"Take It Off","Dick Dale","King Of The Surf Guitar",00:02:10,track
"Tidal Wave","Dick Dale","King Of The Surf Guitar",00:02:04,track
Pipeline,"Dick Dale/Stevie Ray Vaughan","100 Greatest Surf Rock Songs",00:02:59,track
