artist_raw,track_count,ignore
Neil Diamond,5,false
Nick Cave,5,false
Nick Cave And Warren Ellis,5,false
Now That's What I Call Surf,5,false
Paul Ansell's Number Nine,5,false
Poison Bar,5,false
Robert Johnson,5,false
Ruth Brown,5,false
Sam Cooke,5,false
Samantha Clemons,5,false
Skeeter Davis,5,false
Strawfoot,5,false
Sturgill Simpson,5,false
The Boomerangs,5,false
The Byrds,5,false
The Doors,5,false
The Greystone Collective,5,false
The Hang Ten Gallon Hats,5,false
The Reverend Horton Heat,5,false
The Routes,5,false
The Sharks,5,false
The Vicissitones,5,false
Tranes,5,false
Vanessa Paradis,5,false
Vilma Flood,5,false
Vince Eager,5,false
X Ray Cat Trio,5,false
ZWYNTAR,5,false
Alcohol Ukulele,4,false
Alison Krauss,4,false
Alpha Rhythm Kings,4,false
Angela Easterling,4,false
Arno De Cea And The Clockwork Wizards,4,false
B. B. King,4,false
B.B. King,4,false
Barbara Lynn,4,false
Barry Adamson,4,false
Bettye LaVette,4,false
Bobby Darin,4,false
Buddy Guy,4,false
Charlie Parker,4,false
Chet Atkins,4,false
Chris Rea,4,false
Cindi Lou & The Red Hot Royals,4,false
Clockwork Psycho,4,false
Colin Paul,4,false
Cosy Oleksa,4,false
Cristina Vane,4,false
Donna Dunne,4,false
Duke Ellington,4,false
Edward Hartline,4,false
Egotones,4,false
Ella Fitzgerald,4,false
Ella Fitzgerald & Chick Webb,4,false
Emily Love,4,false
Etta James,4,false
Eugene & The Sampletones!,4,false
Eva Eastwood,4,false
Frank Zappa,4,false
Georgia Harmer,4,false
Grace Slick & The Great Society,4,false
Hannah White,4,false
Harry Jordan,4,false
Humanga Danga,4,false
Hurray For The Riff Raff,4,false
Jane Rose & The Deadend Boys,4,false
Jim And The Sea Dragons,4,false
John Moreland,4,false
Judy Henske,4,false
Kassi Valazza,4,false
Kate Fenner,4,false
Kelsey Waldon,4,false
Kerry Pastine and The Crime Scene,4,false
Kim Richey,4,false
Klingonz,4,false
Lara Luppi & The Vintage Kings,4,false
Leon Redbone,4,false
Lera Lynn,4,false
Les Baxter And His Orchestra,4,false
Linda Scott,4,false
Little Lesley & The Bloodshots,4,false
Lorrie Morgan,4,false
Los Bitchos,4,false
Los Coronas,4,false
Lunatics,4,false
Lydia Loveless,4,false
Lydia Lunch & Rowland S. Howard,4,false
Madi Diaz,4,false
Maggie Baugh,4,false
Margo Guryan,4,false
Marianne Faithful,4,false
Matt Monro,4,false
Mick Harvey,4,false
Mo7s,4,false
Molly Tuttle,4,false
Mott The Hoople,4,false
Natalie Merchant,4,false
NEKROMANTIX,4,false
Nick Curran & The Lowlifes,4,false
Nikki Lane,4,false
Paul Walker & Karen Pfeiffer,4,false
Pepita Slappers,4,false
Ray Collins' Hot Club,4,false
Ray Davies,4,false
Ricky Nelson,4,false
Robert Plant,4,false
Roseanne Reid,4,false
Sam C. Jones,4,false
Sant Anna Bay Coconuts,4,false
Sheryl Crow,4,false
Shirley Bassey,4,false
Short Stack and Sides,4,false
Shorty's Swingin Coconuts,4,false
Sierra Ferrell,4,false
Sierra Hull,4,false
Skaldowie,4,false
Stanley Black and his Orchestra and Chorus,4,false
Stray Cats,4,false
Suzanne Vega,4,false
Tanque Rudy,4,false
Taylor & Leigh,4,false
The Animals,4,false
The CheekyBenders,4,false
The Hillbilly Kings,4,false
The J Ann C Trio,4,false
The Keeymen,4,false
The Kilimanjaro Darkjazz Ensemble,4,false
The Kinks,4,false
The Koffin Rockers,4,false
The Lively Ones,4,false
The Lostines,4,false
The Madeira,4,false
The New York Dolls,4,false
The Side Burns,4,false
The Space Cossacks,4,false
The Stray Cats,4,false
The Supertones,4,false
The Surfaris,4,false
The Surfrajettes,4,false
The Tea Ship,4,false
The Tornadoes,4,false
The Traveling Wilburys,4,false
The Troggs,4,false
The Wallflowers,4,false
The Wild Feathers,4,false
Ukulena and Her Smitten Kittens,4,false
Union Avenue,4,false
UV and the Rays,4,false
Whiskey Daredevils,4,false
William J. Le Petomane,4,false
William T. & The Black 50's,4,false
Wovenhand,4,false
"Zoe Schwarz Blue Commotion, Rob Koral, Pete Whittaker, Paul Robinson",4,false
Віка Врадій,4,false
12AX7,3,false
49 Winchester,3,false
Alex North,3,false
Alvino Rey His Guitars & Orchestra,3,false
Amos Milburn,3,false
Amy Annelle,3,false
Anna Elizabeth Laube,3,false
Anna Graves,3,false
Aoife O'Donovan,3,false
Batmobile,3,false
Big Mama Thornton,3,false
Black Vista,3,false
Bobby Day,3,false
Boogie Dance,3,false
Brian Setzer,3,false
Broadcast,3,false
Bryan Ferry and His Orchestra,3,false
Bullit,3,false
Charlie Halloran and The Tropicales,3,false
Chilli & the Baracudas,3,false
Chrissie Hynde & The Valve Bone Woe Ensemble,3,false
Cilla Black,3,false
Cindy Lauper,3,false
Connie Francis,3,false
Cowabunghouls,3,false
Cowboy Junkies,3,false
Cyndi Lauper,3,false
Dark Jazz Cafe Assembly,3,false
David Byrne feat. Ghost Train Orchestra,3,false
Davie Allan & The Arrows,3,false
Deadite,3,false
Dean Martin,3,false
Dick Dale & The Del-Tones,3,false
Dion,3,false
Doris Day,3,false
Drive-By Truckers,3,false
Edwardian Devils,3,false
Ennio Morricone & Lisa Gastoni,3,false
Everglades Rhythm,3,false
Firebirds,3,false
Francis Cabrel,3,false
Frank Sinatra,3,false
Full Load of King,3,false
Genki Genki Panic,3,false
Gordon Lightfoot,3,false
GracieHorse,3,false
Harry Nilsson and John Lennon,3,false
Hattori Hanzo Surf Experience,3,false
Hilde Vos,3,false
Hillbilly Hellcats,3,false
Holly Cole Trio,3,false
Hot Sugar Band,3,false
I. Jeziak and The Surfers,3,false
Isobel Campbell & Mark Lanegan,3,false
Jack Rabbit Slim,3,false
Jackie Gleason,3,false
Jaco Pastorius,3,false
Jaime Wyatt,3,false
Jana Mila,3,false
Jason Isbell and the 400 Unit,3,false
Jefferson Airplane,3,false
Jenny Don't and the Spurs,3,false
Johnny Jewel,3,false
Jonathan Stout and his Campus Five,3,false
Jonathan Stout and his Campus Five & Hilary Alexander,3,false
Jonny Barber & The Rhythm Razors,3,false
Keenan McKenzie,3,false
Les Baxter,3,false
Les Panches Surfers,3,false
Les Robots,3,false
Liv Greene,3,false
Liz Stringer,3,false
Loreena McKennitt,3,false
Los Blonder,3,false
Los Coronas & Arizona Baby,3,false
Louis Armstrong,3,false
Louis Prima & Keely Smith & Sam Butera & The Witnesses,3,false
Mac Cornish,3,false
Mad Marge And The Stonecutters,3,false
Mark Malibu & the Wasagas,3,false
Martha Fields,3,false
Mavis Staples,3,false
MC5,3,false
Milva,3,false
Miss Mary Ann & The Ragtime Wranglers,3,false
Naomi & Her Handsome Devils,3,false
Nena,3,false
Nick Curran & The Nightlifes,3,false
Octopus King,3,false
Otis Clay,3,false
Pat Boone,3,false
Peggy Lipton,3,false
Percy Sledge,3,false
Phill Reynolds,3,false
Preservation Hall Jazz Band,3,false
Prince,3,false
Ral Donner,3,false
Ray Anthony,3,false
Rhythms del Mundo,3,false
Richard Inman,3,false
Rising Appalachia,3,false
Rob Heron & The Tea Pad Orchestra,3,false
Robert Gordon,3,false
Royal Crown Revue,3,false
Running From Daylight,3,false
Sara Gee & Ramblin Matt feat. Soni Artal,3,false
Sara Watkins,3,false
Sharon Van Etten,3,false
Susan Cattaneo,3,false
Switchblade,3,false
Sys Malakian,3,false
TarantinosNYC,3,false
The Bambi Molesters,3,false
The Baseballs,3,false
The Beach Boys,3,false
The Chantays,3,false
The Charades,3,false
The Clovers,3,false
The Coasters,3,false
The Devil's Daughters,3,false
The Dice Cubes,3,false
The Drifters,3,false
The Felice Brothers,3,false
The Fuzillis,3,false
The Jack O' Bones,3,false
The Jive Aces,3,false
The Kilaueas,3,false
