artist_raw,artist_canonical,track_count,monitor_priority,ignore,notes
Mike Sanchez and His Band & Imelda May,Mike Sanchez and His Band & Imelda May,9,medium,false,
Moon Mother,Moon Mother,9,medium,false,
Rachael Kilgour,Rachael Kilgour,9,medium,false,
Rebel Son,Rebel Son,9,medium,false,
Richie Havens,Richie Havens,9,medium,false,
Roller One,Roller One,9,medium,false,
Roy Orbison & The Royal Philharmonic Orchestra,Roy Orbison & The Royal Philharmonic Orchestra,9,medium,false,
Rude Jokes,Rude Jokes,9,medium,false,
Shakey Graves,Shakey Graves,9,medium,false,
Sonny Lester & His Orchestra,Sonny Lester & His Orchestra,9,medium,false,
Talking Heads,Talking Heads,9,medium,false,
The Flatfoot Shakers,The Flatfoot Shakers,9,medium,false,
The Grave Slaves,The Grave Slaves,9,medium,false,
The Root Boys,The Root Boys,9,medium,false,
The Stooges,The Stooges,9,medium,false,
16 Horsepower,16 Horsepower,8,medium,false,
Amanda Shires,Amanda Shires,8,medium,false,
Boom! Boom! Deluxe,Boom! Boom! Deluxe,8,medium,false,
Carter Sampson,Carter Sampson,8,medium,false,
Cass Elliot,Cass Elliot,8,medium,false,
Chet Baker,Chet Baker,8,medium,false,
Chubby Checker,Chubby Checker,8,medium,false,
Donna Dunne & The Mystery Men,Donna Dunne & The Mystery Men,8,medium,false,
Emily Duff,Emily Duff,8,medium,false,
Emma Swift,Emma Swift,8,medium,false,
Es Feiv,Es Feiv,8,medium,false,
Frankie and the Pool Boys,Frankie and the Pool Boys,8,medium,false,
Gram Parsons,Gram Parsons,8,medium,false,
Harry Nilsson,Harry Nilsson,8,medium,false,
Iggy Pop,Iggy Pop,8,medium,false,
Impala,Impala,8,medium,false,
JD McPherson,JD McPherson,8,medium,false,
Karen Jonas,Karen Jonas,8,medium,false,
King Dude,King Dude,8,medium,false,
Konstantin Kolesnichenko,Konstantin Kolesnichenko,8,medium,false,
Laura B & The Moonlighters,Laura B & The Moonlighters,8,medium,false,
LaVern Baker,LaVern Baker,8,medium,false,
Led Zeppelin,Led Zeppelin,8,medium,false,
Lew Phillips,Lew Phillips,8,medium,false,
Little Miss Higgins,Little Miss Higgins,8,medium,false,
Mano Negra,Mano Negra,8,medium,false,
Meat Loaf,Meat Loaf,8,medium,false,
Mike Pedecin,Mike Pedecin,8,medium,false,
Paul Anka,Paul Anka,8,medium,false,
Rachel Baiman,Rachel Baiman,8,medium,false,
Raimonds Pauls and Latvian Radio Big Band,Raimonds Pauls and Latvian Radio Big Band,8,medium,false,
Rosali,Rosali,8,medium,false,
Samantha Fish,Samantha Fish,8,medium,false,
Screamin' Meemies,Screamin' Meemies,8,medium,false,
Stage Frite,Stage Frite,8,medium,false,
Stein,Stein,8,medium,false,
Sugarpie And The Candymen,Sugarpie And The Candymen,8,medium,false,
T. Rex,T. Rex,8,medium,false,
The Gagarins,The Gagarins,8,medium,false,
The Guana Batz,The Guana Batz,8,medium,false,
The Handsome Family,The Handsome Family,8,medium,false,
Thee Flanders,Thee Flanders,8,medium,false,
Willie Nelson,Willie Nelson,8,medium,false,
Zoe FitzGerald Carter,Zoe FitzGerald Carter,8,medium,false,
Брати Гадюкiни,Брати Гадюкiни,8,medium,false,
Allison Russell,Allison Russell,7,medium,false,
"Bobby ""Blue"""" Bland""","Bobby ""Blue"""" Bland""",7,medium,false,
Bohren & der Club of Gore,Bohren & der Club of Gore,7,medium,false,
Brenda Lee,Brenda Lee,7,medium,false,
Cat Power,Cat Power,7,medium,false,
Dale Cooper Quartet & The Dictaphones,Dale Cooper Quartet & The Dictaphones,7,medium,false,
Del Shannon,Del Shannon,7,medium,false,
Emmylou Harris,Emmylou Harris,7,medium,false,
Enoch Light,Enoch Light,7,medium,false,
Esther Rose,Esther Rose,7,medium,false,
Freno de Pedales,Freno de Pedales,7,medium,false,
Gabor Szabo,Gabor Szabo,7,medium,false,
Grace Slick,Grace Slick,7,medium,false,
Heather Little,Heather Little,7,medium,false,
Herbert Rehbein And His Orchestra,Herbert Rehbein And His Orchestra,7,medium,false,
Ken Pomeroy,Ken Pomeroy,7,medium,false,
Kerry Pastine and the Crime Scene,Kerry Pastine and the Crime Scene,7,medium,false,
Mad Marge,Mad Marge,7,medium,false,
Meredith Moon,Meredith Moon,7,medium,false,
Mr. Hypno & His Lo-Fi,Mr. Hypno & His Lo-Fi,7,medium,false,
Nico and The Velvet Underground,Nico and The Velvet Underground,7,medium,false,
Nouvelle Vague,Nouvelle Vague,7,medium,false,
Paul McCartney,Paul McCartney,7,medium,false,
Pokey LaFarge and the South City Three,Pokey LaFarge and the South City Three,7,medium,false,
Procol Harum,Procol Harum,7,medium,false,
Roger Waters,Roger Waters,7,medium,false,
Roy Orbison,Roy Orbison,7,medium,false,
Ryan Chrys & The Rough Cuts,Ryan Chrys & The Rough Cuts,7,medium,false,
Sasha Nabokova,Sasha Nabokova,7,medium,false,
Sid Bass and His Orchestra,Sid Bass and His Orchestra,7,medium,false,
